journal_name,year,number
ACM Computing Surveys,2019.0,11
ACM Computing Surveys,2020.0,5
ACM Transactions on Embedded Computing Systems,2021.0,8
Astrophysical Journal,2019.0,12
CACM,1975.0,7
CACM,2008.0,10
Cambridge International Law Journal,2017.0,2
IEEE Access,2018.0,4
IEEE Access,2020.0,5
IEEE Access,2021.0,9
IEEE Open Journal of Signal Processing,2020.0,4
IEEE Transactions on Control Systems Technology,2019.0,3
IEEE Transactions on Dependable and Secure Computing,2020.0,7
IEEE Transactions on Industrial Informatics,2020.0,2
IEEE Transactions on Industrial Informatics,2022.0,7
IEEE Transactions on Knowledge and Data Engineering,2017.0,9
IEEE Transactions on Knowledge and Data Engineering,2023.0,2
IEEE Transactions on Pattern Analysis and Machine Intelligence,2003.0,2
IEEE Transactions on Vehicular Technology,2019.0,5
IEEE transactions on fuzzy systems,2021.0,8
International Journal for Research in Applied Science and Engineering Technology,2022.0,3
International Journal of Business Information Systems,2010.0,6
International Journal of Computer Vision,1991.0,5
International Journal of Educational Technology in Higher Education,2023.0,1
International Journal of Food and Nutritional Science,2023.0,1
International Journal of Information Management,2015.0,2
International Journal of Innovative Science and Research Technology,2024.0,1
"International Journal of Minerals, Metallurgy, and Materials",2020.0,8
International Journal of Science and Research (IJSR),2022.0,9
International Research Journal of Modernization in Engineering Technology and Science,2023.0,4
Iraqi Journal for Computers and Informatics,2022.0,2
Journal of Applied Science and Technology Trends,2020.0,3
Journal of Big Data,2020.0,2
Journal of Big Data,2022.0,6
Journal of Enterprise Information Management,2020.0,7
Journal of Molecular Biology,2017.0,9
Journal of Science Education and Technology,2023.0,12
Journal of Wildlife Management,2023.0,7
Journal of machine learning research,2003.0,6
Journal of machine learning research,2011.0,8
Journal of the ACM,2016.0,5
Journalism &amp; Mass Communication Educator,2023.0,7
Nano letters (Print),2020.0,5
Nature,2023.0,5
Nature Biotechnology,2018.0,9
Nature Biotechnology,2019.0,4
Nature Biotechnology,2020.0,8
Nature Biotechnology,2021.0,4
Nature Communications,2020.0,7
Nature Communications,2021.0,12
Nature Machine Intelligence,2018.0,4
Nature Network Boston,2019.0,1
Nature Protocols,2008.0,6
Nature Protocols,2021.0,9
Proc. ACM Program. Lang.,2019.0,5
"Proceedings of the Institution of mechanical engineers. Part B, journal of engineering manufacture",2020.0,4
The International Journal of Advanced Manufacturing Technology,2017.0,2
